mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
190.49052205085755,1.753501518136423,0.80709810256958,0.13787084311796619,300,10,1,,30,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__class_weight': None}",0.8897604882490779,0.8823772345087278,0.8796406639131105,0.8900705626969245,0.8882520310073901,0.8860201960750462,0.004227196282710915,21
112.72155947685242,3.588294805732902,0.5520186424255371,0.07211891694007636,200,10,2,,30,,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__class_weight': None}",0.8883444047842736,0.8846389061604123,0.8783137025767972,0.8876976338777824,0.8860670820427379,0.8850123458884006,0.003589906290511766,22
118.37606048583984,1.191885675316016,0.6635226726531982,0.11116359532835708,200,10,2,,,balanced,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': None, 'clf__class_weight': 'balanced'}",0.8883594643698881,0.8842364106806175,0.8778604619581541,0.8876905316167321,0.8856805747462304,0.8847654886743245,0.003748846156050624,23
10.530602264404298,0.5721165242440246,0.39423117637634275,0.06291773580715006,100,10,4,log2,30,balanced,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.8902694266344112,0.8810505250957468,0.8801839992587522,0.8878937961348478,0.881787737384176,0.8842370969015867,0.004058119113818744,24
218.76316032409667,3.740381065216013,0.9965552806854248,0.1592087586170511,400,10,2,,20,balanced,"{'clf__n_estimators': 400, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 20, 'clf__class_weight': 'balanced'}",0.8899222940199701,0.8820209311146981,0.877082664602677,0.885781267554901,0.8839371494864344,0.8837488613557362,0.004235594888720746,25
118.40175323486328,1.2301849993659772,0.6513606548309326,0.06331411592769697,200,2,4,,30,balanced,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.8876328699549522,0.8818041035570414,0.8768638958450864,0.887727696144566,0.8832817672995144,0.883462066560232,0.0040474288786271255,26
111.05218782424927,10.412750546512326,0.26706781387329104,0.16002490499836222,300,5,2,,10,balanced,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 10, 'clf__class_weight': 'balanced'}",0.8762440410488072,0.8640707333348783,0.8580532642295908,0.8701507765636741,0.8682589187833996,0.8673555467920699,0.006082058547952035,27
144.51005692481993,1.4883749560645692,0.7533862590789795,0.11623627436332125,300,2,2,,10,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 10, 'clf__class_weight': None}",0.8758532205266151,0.8640532493335842,0.8586841654644988,0.8700423669678331,0.8668910748823927,0.8671048154349847,0.005752023770394,28
47.97333807945252,0.8844887477609784,0.36588006019592284,0.05640245887534179,100,2,4,,10,,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': 10, 'clf__class_weight': None}",0.8717648903721237,0.864264246791534,0.8527779278629365,0.8681101130174568,0.8661085100174882,0.8646051376123077,0.00641570164157218,29
32.66775107383728,1.688779327573149,1.0029975414276122,0.18478190459939736,400,10,2,sqrt,10,,"{'clf__n_estimators': 400, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 10, 'clf__class_weight': None}",0.8638701689638992,0.85142846365409,0.8629325452712155,0.8602958221596044,0.8496607224437015,0.8576375444985022,0.005935174067533612,30
